framework,arm,pack_count,seed,question_id,pack,correct,llm_tokens_in,llm_tokens_out,embed_tokens,embed_estimated,retrieval_hit,skills_used_count,error,skipped
colmena,colmena,5,0,hogar_prem_agua_subita_ded,colmena-hogar-premium,True,4229,310,0,False,,1,,False
colmena,colmena,5,0,hogar_prem_incendio_contenido_lim,colmena-hogar-premium,True,4227,278,0,False,,1,,False
colmena,colmena,5,0,hogar_prem_robo_fuera_lim,colmena-hogar-premium,True,4188,283,0,False,,1,,False
colmena,colmena,5,0,hogar_bas_agua_gradual_lim,colmena-hogar-basico,True,4208,284,0,False,,1,,False
colmena,colmena,5,0,hogar_bas_incendio_estructura_ded,colmena-hogar-basico,True,4219,310,0,False,,1,,False
colmena,colmena,5,0,hogar_bas_robo_domicilio_lim,colmena-hogar-basico,True,4219,275,0,False,,1,,False
colmena,colmena,5,0,auto_colision_tercero_ded,colmena-auto-full,True,4208,240,0,False,,1,,False
colmena,colmena,5,0,auto_robo_total_lim,colmena-auto-full,True,4206,348,0,False,,1,,False
colmena,colmena,5,0,auto_cristal_parabrisas_ded,colmena-auto-full,True,4260,253,0,False,,1,,False
colmena,colmena,5,0,viaje_medico_hospital_lim,colmena-viaje-internacional,True,4206,320,0,False,,1,,False
colmena,colmena,5,0,viaje_cancela_anticipada_ded,colmena-viaje-internacional,True,4139,292,0,False,,1,,False
colmena,colmena,5,0,viaje_equipaje_demora_ded,colmena-viaje-internacional,True,4124,250,0,False,,1,,False
colmena,colmena,5,0,salud_hosp_cirugia_lim,colmena-salud-familiar,True,4185,394,0,False,,1,,False
colmena,colmena,5,0,salud_amb_consulta_ded,colmena-salud-familiar,True,4133,261,0,False,,1,,False
colmena,colmena,5,0,salud_mat_parto_lim,colmena-salud-familiar,True,4219,338,0,False,,1,,False
colmena,colmena,5,0,mascotas_vet_cirugia_lim,colmena-mascotas,,902,392,0,False,,0,,False
colmena,colmena,5,0,mascotas_acc_fractura_ded,colmena-mascotas,,2172,289,0,False,,1,,False
colmena,colmena,5,0,mascotas_acc_intoxicacion_lim,colmena-mascotas,,906,190,0,False,,0,,False
colmena,colmena,5,1,hogar_prem_agua_subita_ded,colmena-hogar-premium,True,4255,278,0,False,,1,,False
colmena,colmena,5,1,hogar_prem_incendio_contenido_lim,colmena-hogar-premium,True,4180,309,0,False,,1,,False
colmena,colmena,5,1,hogar_prem_robo_fuera_lim,colmena-hogar-premium,True,4158,270,0,False,,1,,False
colmena,colmena,5,1,hogar_bas_agua_gradual_lim,colmena-hogar-basico,True,4283,387,0,False,,1,,False
colmena,colmena,5,1,hogar_bas_incendio_estructura_ded,colmena-hogar-basico,True,4187,230,0,False,,1,,False
colmena,colmena,5,1,hogar_bas_robo_domicilio_lim,colmena-hogar-basico,True,4260,368,0,False,,1,,False
colmena,colmena,5,1,auto_colision_tercero_ded,colmena-auto-full,True,4208,243,0,False,,1,,False
colmena,colmena,5,1,auto_robo_total_lim,colmena-auto-full,True,4193,270,0,False,,1,,False
colmena,colmena,5,1,auto_cristal_parabrisas_ded,colmena-auto-full,True,4246,271,0,False,,1,,False
colmena,colmena,5,1,viaje_medico_hospital_lim,colmena-viaje-internacional,True,4175,291,0,False,,1,,False
colmena,colmena,5,1,viaje_cancela_anticipada_ded,colmena-viaje-internacional,True,4157,230,0,False,,1,,False
colmena,colmena,5,1,viaje_equipaje_demora_ded,colmena-viaje-internacional,True,4161,247,0,False,,1,,False
colmena,colmena,5,1,salud_hosp_cirugia_lim,colmena-salud-familiar,True,4109,243,0,False,,1,,False
colmena,colmena,5,1,salud_amb_consulta_ded,colmena-salud-familiar,True,4132,285,0,False,,1,,False
colmena,colmena,5,1,salud_mat_parto_lim,colmena-salud-familiar,True,4181,295,0,False,,1,,False
colmena,colmena,5,1,mascotas_vet_cirugia_lim,colmena-mascotas,,902,185,0,False,,0,,False
colmena,colmena,5,1,mascotas_acc_fractura_ded,colmena-mascotas,,905,270,0,False,,0,,False
colmena,colmena,5,1,mascotas_acc_intoxicacion_lim,colmena-mascotas,,906,201,0,False,,0,,False
colmena,colmena,5,2,hogar_prem_agua_subita_ded,colmena-hogar-premium,True,4228,308,0,False,,1,,False
colmena,colmena,5,2,hogar_prem_incendio_contenido_lim,colmena-hogar-premium,True,4212,297,0,False,,1,,False
colmena,colmena,5,2,hogar_prem_robo_fuera_lim,colmena-hogar-premium,True,4264,326,0,False,,1,,False
colmena,colmena,5,2,hogar_bas_agua_gradual_lim,colmena-hogar-basico,True,4226,288,0,False,,1,,False
colmena,colmena,5,2,hogar_bas_incendio_estructura_ded,colmena-hogar-basico,True,4244,360,0,False,,1,,False
colmena,colmena,5,2,hogar_bas_robo_domicilio_lim,colmena-hogar-basico,True,4200,288,0,False,,1,,False
colmena,colmena,5,2,auto_colision_tercero_ded,colmena-auto-full,True,4239,270,0,False,,1,,False
colmena,colmena,5,2,auto_robo_total_lim,colmena-auto-full,True,4237,277,0,False,,1,,False
colmena,colmena,5,2,auto_cristal_parabrisas_ded,colmena-auto-full,True,4272,300,0,False,,1,,False
colmena,colmena,5,2,viaje_medico_hospital_lim,colmena-viaje-internacional,True,4159,334,0,False,,1,,False
